Title ,Year ,Director ,Country,ASL ,RA ,POV ,INS ,BCU ,CU ,MCU ,MS ,MLS ,LS ,VLS
10 Things I Hate About You ,1999,"Junger, Gil ",USA ,6.7,58,4,2,64,224,82,37,36,53,3
"Adventures of Robin Hood, The ",1938,"Curtiz, M. & Keighley, W. ",USA ,5,0,0,0,3,53,71,77,109,111,76
"Affairs of Anatole, The ",1921,"DeMille, Cecil B. ",USA ,8,23,16,9,33,26,89,141,136,70,5
Alexander Nevsky ,1938,"Eisenstein, Sergei ",RUS ,7,0,0,0,1,61,100,58,76,186,23
Alley Cat ,1929,"Steinhoff, Hans ",BRI ,6,10,0,0,17,68,84,82,101,142,5
"Almost Perfect Affair, An ",1979,Michael Ritchie ,USA ,4.2,64,12,7,70,199,93,51,26,51,9
"American Tragedy, An ",1931,"Sternberg, Josef von ",USA ,13,0,0,0,27,75,75,95,98,108,20
"Amityville Horror, The ",1979,Stuart Rosenberg ,USA ,5.5,33,7,18,138,141,50,34,41,90,6
Angela's Ashes ,1999,"Parker, Alan ",USA ,3.9,31,4,10,52,152,72,60,68,88,4
Angst ,1928,"Steinhoff, Hans ",GER ,5.5,16,11,11,38,91,71,82,93,118,8
Annelie ,1941,"Baky, Josef von ",GER ,12,32,8,8,24,78,85,95,124,87,6
Annie Hall ,1977,"Allen, Woody ",USA ,14.4,43,9,6,7,166,69,105,55,93,7
Another Thin Man ,1939,"Van Dyke, W.S. ",USA ,7.7,37,7,4,20,137,99,93,84,64,3
"Appel du Sang, L' ",1919,"Mercanton, Louis ",FRA ,7.6,10,12,8,27,7,21,57,168,204,13
"Arlésienne, l' ",1922,"Antoine, André ",FRA ,6.2,7,4,4,6,39,59,42,84,247,22
"Arsenal Stadium Mystery, The ",1939,"Dickinson, Thorold ",BRI ,6.4,17,12,10,25,77,102,96,77,106,17
At the Circus ,1939,"Bussell, Edward ",USA ,7.6,16,6,6,13,31,63,98,119,166,10
"Atlantide, L' ",1921,"Feyder, Jacques ",FRA ,8,0,0,0,3,35,43,134,131,111,45
"Atre, l' ",1923,"Boudrioz, Robert ",FRA ,4.8,24,18,8,11,25,64,81,104,179,35
"Avenging Conscience, The ",1914,"Griffith, D.W. ",USA ,7.5,0,0,7,36,16,18,80,121,215,14
Aventure Malgache ,1944,"Hitchcock, Alfred ",BRI ,22,14,2,7,25,6,74,142,142,111,0
Back Street ,1941,"Stevenson, Robert ",USA ,8,0,0,0,42,124,99,89,69,59,19
Barberousse ,1916,"Gance, Abel ",FRA ,13.5,18,16,11,39,43,54,109,118,118,22
Baywatch ,1994,,USA ,3.4,36,11,0,33,142,69,66,77,104,9
Beetle Juice ,1984,"Burton, Tim ",USA ,4.2,44,10,11,44,166,106,50,66,55,12
"Behemoth, The Sea Monster ",1959,"Lourié, Eugene ",USA ,5.6,25,12,19,45,108,52,45,65,141,44
"Belle Nivernaise, la ",1924,"Epstein, Jean ",FRA ,5.2,18,9,16,57,91,43,67,62,147,33
"Bergkatze, Die ",1921,"Lubitsch, Ernst ",GER ,10,0,0,0,4,22,22,59,99,261,32
"Best of Everything, The ",1959,"Negulesco, Jean ",USA ,11.3,35,5,5,25,137,103,69,116,43,7
Beyond a Reasonable Doubt ,1956,"Lang, Fritz ",USA ,16.5,0,0,0,32,47,117,140,102,57,5
"Big Broadcast of 1937, The ",1936,"Leisen, Mitchell ",USA ,11,0,0,0,25,42,63,113,115,98,45
"Bill, The  (Mix and Match) ",1994,,BRI ,5.2,53,9,0,38,207,100,56,45,50,4
"Bill, The (Dealer Wins) ",1994,,BRI ,4.3,66,0,0,72,250,113,34,20,2,0
"Birds, The ",1963,"Hitchcock, Alfred ",USA ,5.3,46,23,15,59,127,111,69,57,58,19
Birth of a Nation ,1915,"Griffith, D.W. ",USA ,7,0,0,0,1,19,26,78,126,172,79
"Black Stallion, The ",1979,Carroll Ballard ,USA ,4.9,27,14,30,85,111,66,47,46,128,17
Blackmail (Silent version) ,1929,"Hitchcock, Alfred ",BRI ,6,19,18,15,39,49,67,85,137,113,10
Blackmail (Sound version) ,1929,"Hitchcock, Alfred ",BRI ,11,22,22,18,42,41,87,74,112,128,16
"Blair Witch Project, The ",1999,"Myrick, D & Sanchez, E. ",USA ,15.8,1,2,44,96,74,70,93,88,79,0
Blind Alley ,1939,"Vidor, Charles ",USA ,10.1,41,7,4,26,107,79,111,111,63,2
Blonde Venus ,1932,"Sternberg, Josef von ",USA ,10.5,28,0,0,40,139,79,84,80,52,23
"Blood Ship, The ",1927,"Seitz, George B. ",USA ,5.5,15,6,3,6,65,108,91,82,136,11
Bon Voyage ,1944,"Hitchcock, Alfred ",BRI ,14,40,4,5,9,90,113,156,75,56,0
